config,liong,nitik,megamendung
_0,0.0,0.0,0.0
_1,0.043622448788257176,0.05551358983448351,0.06813357347036805
_2,0.07046109777026857,0.06102069547817743,0.07524205638106082
_3,0.07005987605127052,0.056980175592257286,0.07577225510222522
_4,0.07376579438946676,0.07382120968540744,0.09011766637939354
_5,0.03631573511980455,0.05503476142180595,0.07029534766944058
_12,0.06370485610782677,0.05855104221355004,0.07151243959637531
_13,0.06728240100486771,0.05730304676750174,0.07526843528694938
_14,0.07064810256202984,0.06762791907231665,0.08547410775056864
_15,0.04043669048337604,0.05438758276572284,0.06815075498421559
_23,0.06370611550451577,0.05898963682278978,0.07397312395433492
_24,0.0691110385469321,0.07014108929902942,0.08315981943894458
_25,0.06413901788843052,0.05770515121274103,0.0686329255887772
_34,0.06717810570010915,0.05528925603928669,0.07253236771998617
_35,0.06777920388546461,0.0564952918385998,0.07543306209541574
_45,0.07165258148245808,0.06816094797369245,0.08436532700085145
_123,0.05863155816566549,0.05418599776063214,0.07029162247129875
_124,0.06268850297276073,0.06237274293596073,0.07936382218204766
_125,0.0708537171435241,0.05671125131719512,0.07195701969981665
_134,0.06125148844453106,0.054633997051953063,0.046442517179682404
_135,0.06310042545618122,0.050465362019219744,0.07170264704199202
_145,0.0666622496379821,0.06522056928875515,0.0792420074921548
_234,0.029469325825192936,0.056135826963767774,0.06804901204917509
_235,0.058383000684574755,0.03219912435696402,0.07160241113626051
_245,0.06284926024837306,0.06261650111456504,0.07846516719716948
_345,0.06116998432696329,0.05329670755301709,0.06926778903908447
_1234,0.026182229709179907,0.05594742703267903,0.06805237601857246
_1235,0.06530486316558112,0.06104779209524014,0.07654013444330215
_1245,0.07212749957786402,0.07192652942823853,0.0863169345303446
_1345,0.07675256486486538,0.05613636105803962,0.0729180100036695
_2345,0.03630461740642697,0.055638541944883636,0.06834275962257835
